"list","displayName","internalName","targetList","targetField","indexed"
"CRM - Contacts","Organization","OrganizationLookup","CRM - Organizations","Title","True"
"CRM - Engagements","Organization","OrganizationLookup","CRM - Organizations","Title","True"
"CRM - Engagements","Primary Contact","PrimaryContactLookup","CRM - Contacts","Title","True"
"CRM - Stakeholder Map","Engagement","EngagementLookup","CRM - Engagements","Title","True"
"CRM - Stakeholder Map","Contact","ContactLookup","CRM - Contacts","Title","True"
"CRM - Touchpoints","Engagement","EngagementLookup","CRM - Engagements","Title","True"
"CRM - Touchpoints","Contact","ContactLookup","CRM - Contacts","Title","True"
"CRM - Lifecycle Checklist","Engagement","EngagementLookup","CRM - Engagements","Title","True"
