"List","Field","InternalName","TargetList","Exists","Type","Indexed","Status"
"CRM - Contacts","Organization","OrganizationLookup","CRM - Organizations","True","Lookup","True","Present"
"CRM - Engagements","Organization","OrganizationLookup","CRM - Organizations","True","Lookup","True","Present"
"CRM - Engagements","Primary Contact","PrimaryContactLookup","CRM - Contacts","True","Lookup","True","Present"
"CRM - Stakeholder Map","Engagement","EngagementLookup","CRM - Engagements","True","Lookup","True","Present"
"CRM - Stakeholder Map","Contact","ContactLookup","CRM - Contacts","True","Lookup","True","Present"
"CRM - Touchpoints","Engagement","EngagementLookup","CRM - Engagements","True","Lookup","True","Present"
"CRM - Touchpoints","Contact","ContactLookup","CRM - Contacts","True","Lookup","True","Present"
"CRM - Lifecycle Checklist","Engagement","EngagementLookup","CRM - Engagements","True","Lookup","True","Present"
