"Title","FileName","Exists","ActualTitle"
"Guided AI Labs Home","Guided-AI-Labs-Home.aspx","True","Guided AI Labs Home"
"How To Use This Workspace","How-To-Use-This-Workspace.aspx","True","How To Use This Workspace"
"Intake","Intake.aspx","True","Intake"
"Active Delivery","Active-Delivery.aspx","True","Active Delivery"
"Decisions","Decisions.aspx","True","Decisions"
"Client Workspace Pattern","Client-Workspace-Pattern.aspx","True","Client Workspace Pattern"
"Methods And IP","Methods-And-IP.aspx","True","Methods And IP"
"AI And Automation Governance","AI-And-Automation-Governance.aspx","True","AI And Automation Governance"
